ID,User,tanggal waktu,review,rating,date
1,duc162001,"2024-05-09 14:55 | Phân loại hàng: Đen,M","Chất liệu: áo thunMàu sắc: đenCổ áo dày dặn nha, mình thấy kh bị nhão. Họa tiết thêu dễ thương Có màu trắng nữa thì mình sẽ mua thêm",,
1,qjnzxnjfhd,"2024-04-10 08:55 | Phân loại hàng: Kem,M","Đúng với mô tả: đúng, đẹpChất liệu: vải mềmMàu sắc: đen và beÁo giống vs ảnh của shop, đẹp, vải mặc mát, đẹp, đáng mua, giao nhanh, vải siu co giãn, k mỏng",,
1,diulinhnguynth935,"2024-03-31 09:16 | Phân loại hàng: Đen,M",Đúng với mô tả: đúngMàu sắc: đenMua ở shop này thì khỏi lo nữa rồi Hình là thêu chứ không phải là in đâu nha Vải xịn lắm Mình m55 40kg mặc size M đúng áo phông luôn,,
1,5*****k,"2024-05-02 12:37 | Phân loại hàng: Đen,L","2024-05-02 12:37 | Phân loại hàng: Đen,L",,
1,n*****3,"2024-05-09 18:00 | Phân loại hàng: Đen,M","2024-05-09 18:00 | Phân loại hàng: Đen,M",,
1,liu7v2h3ha,"2024-04-25 12:27 | Phân loại hàng: Kem,L","Màu sắc: kemChất liệu: vảiĐúng với mô tả: đúngÁo đẹp lắm nha, mặc vừa mà chất vải không nóng đâu, hình thêu đẹp mặc thích lắm. Mình m65 mặc size L thoải mái lắm, nên mua nhé",,
1,q2g_y1k5li,"2024-05-21 19:53 | Phân loại hàng: Kem,M","Chất liệu: vải cũng dày dặn, from đẹp, hình thêu đẹp, không có chỉ thừa, ở ngoài áo đẹp lắm nhaaĐúng với mô tả: giống như hình, nên mua nha mọi ngườiMàu sắc: màu kemÁo đẹp lắm luôn áaa , tag mac đầy đủ, đóng gói cẩn thận, giao hàng nhanh, hình là hình thêu nha",,
1,hma.08032003,"2024-05-10 11:32 | Phân loại hàng: Đen,M","Chất liệu: cottonMàu sắc: đenĐúng với mô tả: đúngGiao hàng nhanh đóng gói cẩn thận, áo vải mát hình thêu dễ thương 100000 điểm nên mua nha",,
1,1pjohow46i,"2024-06-25 09:49 | Phân loại hàng: Hồng,L","Đúng với mô tả: vải mịn đường mai sắc nétChất liệu: mềm mịnMàu sắc: hồngđặt đúng size nhé mặc vô lên from lắmm,đẹp kinh khủng",,
1,13_h00kuup,"2024-07-12 16:53 | Phân loại hàng: Đen,L","Đúng với mô tả: đúngMàu sắc: đenChất liệu: cottonĐẹp nha mọi ngừi, với hơn 100k mua đc cái áo như zạy là ưng ròi 👍🧡",,
1,quyenhoang17,"2024-06-20 22:00 | Phân loại hàng: Đen,XL","Đúng với mô tả: đúngMàu sắc: đenChất liệu: thun cottonÁo mặc chất dày dặn, mình đã mua áo bên 8yo 1 lần và rất ưng nên mua thêm, chiếc này thêu sắc nét, hình xinh xắn và đường chỉ đẹp nhe, k thấy chỉ thừa mà giá rẻ có 139k. Chắc là sắp tới sẽ thành fan bự của 8yo thui 😚",,
1,_d.tzly.18_,"2024-04-21 13:11 | Phân loại hàng: Kem,M","Chất liệu: kh bicMàu sắc: kemĐúng với mô tả: dúngLúc đi chơi là còn có 2 ngày th tưởng giao kh kịp nmaaa ai dè giaoo kịp, áo xinh lắmm🫰🏻",,
1,duc162001,"2024-05-09 14:55 | Phân loại hàng: Đen,M","Chất liệu: áo thunMàu sắc: đenCổ áo dày dặn nha, mình thấy kh bị nhão. Họa tiết thêu dễ thương Có màu trắng nữa thì mình sẽ mua thêm",,
1,qjnzxnjfhd,"2024-04-10 08:55 | Phân loại hàng: Kem,M","Đúng với mô tả: đúng, đẹpChất liệu: vải mềmMàu sắc: đen và beÁo giống vs ảnh của shop, đẹp, vải mặc mát, đẹp, đáng mua, giao nhanh, vải siu co giãn, k mỏng",,
1,diulinhnguynth935,"2024-03-31 09:16 | Phân loại hàng: Đen,M",Đúng với mô tả: đúngMàu sắc: đenMua ở shop này thì khỏi lo nữa rồi Hình là thêu chứ không phải là in đâu nha Vải xịn lắm Mình m55 40kg mặc size M đúng áo phông luôn,,
1,5*****k,"2024-05-02 12:37 | Phân loại hàng: Đen,L","2024-05-02 12:37 | Phân loại hàng: Đen,L",,
1,n*****3,"2024-05-09 18:00 | Phân loại hàng: Đen,M","2024-05-09 18:00 | Phân loại hàng: Đen,M",,
1,liu7v2h3ha,"2024-04-25 12:27 | Phân loại hàng: Kem,L","Màu sắc: kemChất liệu: vảiĐúng với mô tả: đúngÁo đẹp lắm nha, mặc vừa mà chất vải không nóng đâu, hình thêu đẹp mặc thích lắm. Mình m65 mặc size L thoải mái lắm, nên mua nhé",,
